1,20,0
2,23,0
5,33,300
5,36,250
5,35,370
4,42,150
4,44,100
4,46,50
4,48,0

2,40,0
1,47,0
3,50,0
6,55,0
5,62,370
5,63,300
5,64,230
1,60,0
2,63,0

5,72,360
4,77,0
4,76,50
4,75,100
4,76,150
4,77,200
4,77,100

7,80,0
7,82,0
7,84,0
7,86,0
7,88,0
7,90,0
7,92,0
7,94,0
7,96,0
7,98,0
4,97,0
4,96,50
4,95,100
4,96,150
4,97,200
4,97,100

8,112,-70
8,111,0
8,110,70
8,111,140
8,112,210

9,120,200

4,133,30
4,133,300
4,140,0
4,138,250
4,137,350
6,138,200
6,143,220
5,133,300
5,142,340
5,136,350
5,139,280

11,146,0
11,148,40
11,150,80
11,152,120
11,154,160
11,154,240
11,152,280
11,150,320
11,148,360
11,146,400

11,156,200

11,166,0
11,164,40
11,162,80
11,160,120
11,158,160
11,158,240
11,160,280
11,162,320
11,164,360
11,166,400

12,170,5
12,172,155
12,170,295
12,174,105
12,176,255
12,174,395
12,178,5
12,180,155
12,178,295
12,182,105
12,184,255
12,182,395

14,190,200
